,Rank,UGDS,INSTNM,GRAD_DEBT_MDN,GRAD_DEBT_MDN10YR,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P10,NPT4_PUB,NPT4_PRIV,OVERALL_YR6_N,UG,10%_cut,20%_cut,50%_cut,calculation,debt,earning_average,net_tuition,graduation_rate
244,408,13385.0,University of Massachusetts-Lowell,25000,259.457706722154,45700,45800,52200,57200,18882.0,0.0,2789,0.0,6,3,1,-0.16910558494698566,25000,200900,18882.0,0.20836757564437802
189,483,1006.0,Northwestern College,23000,238.701090184382,36100,32900,37500,40200,0.0,23406.0,346,0.0,7,3,1,-0.1691565734325075,23000,146700,23406.0,0.34393638170974156
435,237,3318.0,Cedarville University,21500,223.133627781052,38200,37900,44300,46800,0.0,21390.0,678,0.0,3,1,0,-0.16992086509841525,21500,167200,21390.0,0.20433996383363473
126,476,4765.0,Mercer University,25000,259.457706722154,40400,52900,54800,58200,0.0,20828.0,1119,0.0,7,3,1,-0.17041150163810165,25000,206300,20828.0,0.23483735571878278
530,618,2025.0,North Greenville University,21200,220.020135300386,27800,26700,32600,36200,0.0,20025.0,499,0.0,9,4,1,-0.17101930065075485,21200,123300,20025.0,0.24641975308641975
373,383,2607.0,Le Moyne College,24250,251.673975520489,42200,46100,47200,55600,0.0,22715.0,723,0.0,5,2,1,-0.1710252606055656,24250,191100,22715.0,0.2773302646720368
440,639,926.0,Hiram College,27000,280.214323259926,36300,37300,42500,46900,0.0,21099.0,364,0.0,9,4,1,-0.17108841198396688,27000,163000,21099.0,0.3930885529157667
44,23,886.0,Harvey Mudd College,22960,238.285957853626,87200,68100,99300,104200,0.0,32739.0,104,0.0,0,0,0,-0.17159591742791774,22960,358800,32739.0,0.11738148984198646
481,37,6483.0,Carnegie Mellon University,23250,241.295667251603,84000,82200,92200,103000,0.0,32674.0,778,0.0,0,0,0,-0.17182740628939758,23250,361400,32674.0,0.12000616998303254
487,114,2298.0,Franklin and Marshall College,19812,205.615043423172,49200,47800,55700,69200,0.0,26479.0,320,0.0,1,0,0,-0.1722059192012658,19812,221900,26479.0,0.1392515230635335
119,387,971.0,Covenant College,22496,233.470422816863,35100,39200,39700,46700,0.0,22234.0,253,0.0,5,2,1,-0.17233307064527717,22496,160700,22234.0,0.26055612770339853
414,473,22330.0,East Carolina University,24250,251.673975520489,37300,37100,41700,45800,16506.0,0.0,4334,0.0,7,3,1,-0.17245994975033685,24250,161900,16506.0,0.19408866995073892
218,509,8861.0,University of Maine,25500,264.646860856597,37400,38200,42500,48300,16388.0,0.0,1988,0.0,7,3,1,-0.17291050135172317,25500,166400,16388.0,0.22435391039386074
50,524,2349.0,Mount Saint Mary's University,25000,259.457706722154,57700,55900,59400,63500,0.0,29267.0,819,0.0,8,4,1,-0.17297073283671072,25000,236500,29267.0,0.3486590038314176
535,409,2177.0,South Dakota School of Mines and Technology,27000,280.214323259926,56400,48500,61100,62400,19078.0,0.0,461,0.0,6,3,1,-0.17316430885292566,27000,228400,19078.0,0.21175930179145613
190,496,1377.0,Simpson College,25500,264.646860856597,40000,40500,46200,51200,0.0,23187.0,480,0.0,7,3,1,-0.17316984508965977,25500,177900,23187.0,0.3485838779956427
178,510,1076.0,Central College,27000,280.214323259926,37300,38600,41300,48400,0.0,21421.0,415,0.0,7,3,1,-0.1734078879000519,27000,165600,21421.0,0.3856877323420074
317,427,14566.0,Montana State University,23500,243.890244318825,38000,37300,43300,48900,18036.0,0.0,2695,0.0,6,3,1,-0.17376142424424817,23500,167500,18036.0,0.18501990937800358
333,422,16812.0,Montclair State University,23250,241.295667251603,38200,41900,45800,52400,19949.0,0.0,3297,0.0,6,3,1,-0.17389324576431206,23250,178300,19949.0,0.1961099214846538
47,332,1185.0,The Master's University and Seminary,20926,217.176478834712,38600,39000,41300,52100,0.0,26645.0,323,0.0,5,2,1,-0.17458203020010093,20926,171000,26645.0,0.27257383966244725
500,547,6597.0,Millersville University of Pennsylvania,24250,251.673975520489,35600,37500,40600,46000,21923.0,0.0,2028,0.0,8,4,1,-0.17468521261937067,24250,159700,21923.0,0.307412460209186
146,208,2924.0,Illinois Institute of Technology,26000,269.83601499104,60400,66600,71600,78000,0.0,21917.0,402,0.0,3,1,0,-0.17469931915469367,26000,276600,21917.0,0.1374829001367989
57,275,2945.0,University of Redlands,27000,280.214323259926,48700,48000,52900,57700,0.0,25727.0,1144,0.0,4,2,0,-0.17557244327163796,27000,207300,25727.0,0.38845500848896436
