,PCIP01,PCIP04,PCIP05,PCIP26,PCIP52,PCIP09,PCIP10,PCIP11,PCIP46,PCIP13,PCIP15,PCIP14,PCIP23,PCIP19,PCIP16,PCIP51,PCIP54,PCIP43,PCIP22,PCIP24,PCIP25,PCIP27,PCIP47,PCIP29,PCIP30,PCIP03,PCIP31,PCIP12,PCIP38,PCIP40,PCIP48,PCIP42,PCIP44,PCIP41,PCIP45,PCIP39,PCIP49,PCIP50,MN_EARN_WNE_P6,MN_EARN_WNE_P7,MN_EARN_WNE_P8,MN_EARN_WNE_P9,MN_EARN_WNE_P10,income
2689,0.0,0.0,0.0,0.0533,0.1067,0.0,0.0,0.0,0.0,0.0726,0.0874,0.0,0.0104,0.0,0.0,0.3274,0.0178,0.0,0.0104,0.0296,0.0,0.0148,0.0,0.0,0.0119,0.0,0.043,0.0,0.003,0.0119,0.0,0.0356,0.0,0.0,0.0593,0.0,0.0,0.1052,28600,31300,32500,34900,37500,164800
2694,0.0,0.0,0.0,0.0435,0.1512,0.0586,0.0,0.0302,0.0,0.0624,0.0,0.0,0.0473,0.0019,0.0095,0.0907,0.0227,0.0,0.0,0.0699,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0435,0.0095,0.0,0.0832,0.0454,0.0,0.034,0.1739,0.0,0.0057,34800,34300,40200,36500,42700,188500
2698,0.0,0.0,0.0,0.0,0.3404,0.0117,0.0,0.0469,0.0,0.0094,0.0,0.0,0.0,0.0,0.0,0.0469,0.0,0.3474,0.0117,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0376,0.0,0.0,0.0,0.0,0.0986,0.0,0.0,0.0305,0.0,0.0,0.0141,36600,36600,41900,41000,47900,204000
2699,0.0,0.0,0.0028,0.044000000000000004,0.205,0.0315,0.0,0.0215,0.0,0.044000000000000004,0.0499,0.1555,0.0111,0.0,0.0024,0.1693,0.0059,0.0336,0.01,0.0156,0.0,0.0028,0.0,0.0,0.0488,0.01,0.0298,0.0,0.0062,0.0076,0.0,0.0291,0.0173,0.0,0.0197,0.0,0.0,0.0267,37900,41100,45100,43800,52800,220700
2703,0.0,0.0,0.0,0.0,0.0277,0.0,0.0,0.0,0.0,0.0198,0.0,0.0,0.0,0.2693,0.0,0.0673,0.0,0.5545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277,0.0337,0.0,0.0,0.0,0.0,0.0,64200,53700,59900,50700,55000,283500
2706,0.0,0.0,0.0,0.0,0.4,0.0435,0.0,0.0,0.0,0.1739,0.0,0.0,0.0087,0.0174,0.0,0.0,0.0087,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0435,0.0,0.1391,0.0,0.0,0.0,0.0,0.0348,0.0261,0.0,0.0174,0.0,0.0,0.0,34200,33300,37300,38200,40400,183400
2707,0.0,0.0,0.0,0.0491,0.1104,0.0429,0.0,0.0,0.0,0.0,0.0,0.0,0.0061,0.0,0.0,0.5951,0.0184,0.0,0.0123,0.0061,0.0,0.0,0.0,0.0,0.0123,0.0,0.0,0.0,0.0061,0.0,0.0,0.0613,0.0123,0.0061,0.0307,0.0,0.0,0.0307,43700,43600,46500,49100,50400,233300
2709,0.0,0.0,0.0,0.0821,0.3453,0.0295,0.0,0.0126,0.0,0.1095,0.0,0.0,0.0,0.0,0.0021,0.1768,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,0.0,0.0253,0.0,0.0463,0.0,0.0063,0.0063,0.0,0.0632,0.0042,0.0,0.0632,0.0063,0.0,0.0189,40900,38900,47500,45100,48300,220700
2711,0.0,0.0,0.0,0.0303,0.5,0.0606,0.0,0.0758,0.0,0.0,0.0,0.0303,0.0152,0.0,0.0,0.1364,0.0,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0303,0.0303,0.0,0.0455,0.0,0.0,0.0,27300,33000,31100,36700,38400,166500
2712,0.2708,0.0,0.0,0.0505,0.278,0.0289,0.0,0.0,0.0,0.1119,0.0,0.0,0.0108,0.0,0.0,0.0325,0.0072,0.0397,0.0,0.0036,0.0,0.0036,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0253,0.0,0.0289,0.0072,0.0,0.0072,0.0,0.0,0.0108,33000,34300,37600,41700,41900,188500
2714,0.0,0.0,0.0106,0.1618,0.191,0.0398,0.0,0.0106,0.0,0.0663,0.0,0.0,0.0345,0.0,0.0292,0.0133,0.0398,0.0,0.0,0.0053,0.0,0.0265,0.0,0.0,0.0106,0.0371,0.0637,0.0,0.0053,0.0371,0.0,0.0769,0.0,0.0,0.0875,0.0,0.0,0.0531,37800,36700,44100,44300,49000,211900
2715,0.0,0.0,0.0234,0.1846,0.0,0.0467,0.0,0.0234,0.0,0.0047,0.0,0.0,0.0584,0.0,0.0234,0.0257,0.0654,0.0,0.0,0.0,0.0,0.0514,0.0,0.0,0.021,0.0,0.0,0.0,0.0327,0.0794,0.0,0.0794,0.0,0.0,0.22899999999999998,0.0,0.0,0.0514,34300,39600,45700,44900,53000,217500
2716,0.0,0.0,0.0,0.0385,0.2447,0.0301,0.0,0.0502,0.0,0.0606,0.0,0.1326,0.0364,0.0,0.0146,0.1138,0.0088,0.0,0.0,0.0,0.0,0.0084,0.0,0.0,0.0284,0.0,0.0151,0.0,0.0017,0.0226,0.0,0.0636,0.0276,0.0,0.0586,0.0,0.0,0.0439,34500,36400,39300,42500,46100,198800
2717,0.0,0.0,0.0,0.0068,0.4257,0.0,0.0,0.0,0.0,0.1554,0.1486,0.1216,0.0068,0.0068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0135,0.0,0.0,0.0,0.0,0.0338,0.0,0.0135,0.0135,0.0,0.0068,0.0,0.0,0.0473,34500,36400,39300,42500,46100,198800
2718,0.0,0.0,0.0,0.0634,0.2661,0.0507,0.0,0.0222,0.0,0.0338,0.0,0.0042,0.0095,0.0,0.018000000000000002,0.1542,0.0106,0.0169,0.0,0.1056,0.0,0.0074,0.0,0.0,0.0095,0.0116,0.0412,0.0,0.0053,0.0222,0.0,0.0528,0.019,0.0,0.0539,0.0,0.0,0.0222,44800,45000,50400,51800,58200,250200
